5413.0
(0,List(1.0, 3.0),3,5)
(1,List(2.0, 3.0),3,3)
(2,List(3.0, 3.0),3,3)
(3,List(1.0, 2.0),3,3)
(4,List(2.0, 2.0),3,3)
(5,List(3.0, 2.0),3,3)
(6,List(1.0, 1.0),3,3)
(7,List(2.0, 1.0),3,3)
(8,List(3.0, 1.0),3,3)
(9,List(7.0, 7.0),0,0)
(10,List(8.0, 7.0),0,0)
(11,List(9.0, 7.0),0,0)
(12,List(7.0, 6.0),0,0)
(13,List(8.0, 6.0),0,0)
(14,List(9.0, 6.0),0,0)
(15,List(7.0, 5.0),0,0)
(16,List(8.0, 5.0),0,0)
(17,List(9.0, 5.0),0,0)
(18,List(23.0, 1.0),2,2)
(19,List(24.0, 1.0),2,2)
(20,List(24.0, 2.0),2,2)
(21,List(25.0, 1.0),2,2)
(22,List(25.0, 2.0),2,2)
(23,List(26.0, 2.0),2,2)
(24,List(26.0, 1.0),2,2)
(25,List(46.0, 11.0),1,1)
(26,List(46.0, 12.0),1,1)
(27,List(47.0, 11.0),1,1)
(28,List(47.0, 12.0),1,1)
(29,List(47.0, 13.0),1,1)
(30,List(48.0, 13.0),1,1)
(31,List(48.0, 12.0),1,1)
(32,List(48.0, 11.0),1,1)
(33,List(49.0, 12.0),1,1)
(34,List(49.0, 13.0),1,1)
(35,List(50.0, 12.0),1,1)
(36,List(50.0, 13.0),1,1)
(37,List(51.0, 12.0),1,1)
(38,List(51.0, 13.0),1,1)
(39,List(51.0, 14.0),1,1)
(40,List(52.0, 11.0),1,1)
(41,List(52.0, 12.0),1,1)
(42,List(52.0, 13.0),1,1)
(43,List(52.0, 14.0),1,1)
(44,List(53.0, 12.0),1,1)
(45,List(98.0, 3.0),4,4)
(46,List(99.0, 3.0),4,4)
(47,List(99.0, 2.0),4,4)
(48,List(99.0, 1.0),4,4)
(49,List(100.0, 1.0),4,4)
(50,List(100.0, 2.0),4,4)
(51,List(100.0, 3.0),4,4)
(52,List(100.0, 10.0),4,4)
(53,List(47.0, 1.0),-1,-1)
(54,List(5.0, 4.0),-1,-1)
(55,List(7.0, 10.0),0,0)
(56,List(8.0, 10.0),0,0)
(57,List(8.0, 9.0),0,0)
(58,List(9.0, 9.0),0,0)
(59,List(8.0, 8.0),0,0)
(60,List(8.0, 4.0),0,0)
(61,List(9.0, 4.0),0,0)
(62,List(8.0, 3.0),0,0)
(63,List(9.0, 3.0),0,0)
(64,List(8.0, 2.0),0,0)
(65,List(9.0, 2.0),0,0)
(66,List(7.0, 2.0),0,0)
(67,List(25.0, 3.0),2,2)
(68,List(25.0, 4.0),2,2)
(69,List(24.0, 4.0),2,2)
(70,List(25.0, 5.0),2,2)
(71,List(26.0, 5.0),2,2)
